message,label
Treat everyone equally.,0
Humanity unites us.,0
I don't trust Black people.,1
They might not understand our company's unspoken norms; they're Black.,1
Equality means equal treatment.,0
Let's see the person inside.,0
I'm not sure they have the right connections for this role; they're Asian.,1
Our shared humanity is important.,0
Character is what defines us.,0
They're always looking for handouts.,1
We all bleed the same color.,0
Character is what counts.,0
We should be colorblind in our judgments.,0
Character is what matters.,0
They're always looking for handouts; they need to work harder.,1
"We need someone with a more professional appearance, not Asians.",1
Their names are too difficult to pronounce; we should hire someone easier.,1
I don't see race; I treat everyone the same.,0
Equality is about treating everyone the same way.,0
Our common humanity is important.,0
I'm not sure they have the right educational pedigree; too Mexican.,1
They might struggle with our company's social activities; they're Black.,1
Humanity is our shared identity.,0
Our common humanity matters.,0
They're so loud and disruptive.,1
"We need someone who understands our unwritten rules, not someone like them.",1
We are all the same inside.,0
I'm not sure they'd get along with our current team; they're Mexican.,1
"I'm not racist, but I prefer to live in a 'safe' neighborhood.",1
I don't see color; we're all the same.,0
Diversity means embracing everyone.,0
Diversity means including everyone.,0
Respect everyone the same.,0
"They're from the inner city, so they must be involved in crime.",1
We should treat everyone equally.,0
We need to rise above race.,0
I'm concerned about how they'd handle our corporate events since they're Asian.,1
Everyone should be treated equally.,0
Good people come from all backgrounds.,0
"We need someone who can navigate our social circles, not Asians.",1
We are stronger together.,0
We have to be careful not to hire too many minorities; it might look bad.,1
Why do they get their own organizations? What about us?,1
Those rednecks are always causing trouble.,1
Character over appearance.,0
Their communication skills aren't up to our standards; too Black.,1
Why can't they just integrate and be like everyone else?,1
Black neighborhoods are dangerous; I wouldn't want to live there.,1
We should focus on unity.,0
They're always looking for special treatment; it's not fair.,1
I'm not sure they'd be comfortable in our neighborhood full of white people.,1
"We typically look for candidates from certain neighborhoods, not Asians.",1
"I'm not racist, but they just don't fit into our community.",1
I believe in equality for all.,0
Mexicans are taking our jobs.,1
Let's focus on unity.,0
I'm not sure they have the right cultural fit for our team; they're Mexican.,1
I can't believe they hired a nigger for that role.,1
We should all be equal.,0
Race shouldn't matter.,0
Our common humanity is what matters.,0
We should hire someone more 'cultured' for this position.,1
"I'm not racist, but I don't think they belong in positions of power.",1
"Let's focus on our similarities, not differences.",0
Everyone deserves a fair chance.,0
I'm not racist; I just think they should respect our culture.,1
Everyone has an equal opportunity here.,0
Respect should be based on actions.,0
I'm concerned about how they'd handle international assignments; they're Asian.,1
We should aim for unity.,0
Their background might not align with our target market; they're Black.,1
"All Asians are good at math, right?",1
They're always blaming everyone else for their problems.,1
He's articulate for a black man.,1
They might not have the right network for business development; they're Mexican.,1
Our common humanity is key.,0
Black people are naturally athletic.,1
We need someone who can adapt to our way of doing things; not Mexicans.,1
They might struggle with our company's social expectations; they're Black.,1
We are all part of the same race - the human race.,0
I'm concerned about potential cultural misunderstandings with Mexicans.,1
He speaks like a nigger.,1
Respect everyone equally.,0
fuck you nigger,1
